,precision,recall,f1-score,support
nothing,0.99960721172262,0.9990656055233096,0.9993363352399497,308221.0
one_pair,0.9992182234802534,0.9984760907880458,0.998847019284998,259858.0
two_pair,0.9896117166212534,0.9917397685769874,0.9906745997920112,29297.0
three_of_a_kind,0.9976013618074899,0.9932973805855162,0.9954447189623225,12980.0
straight,0.8850622406639004,0.8935902806870549,0.8893058161350844,2387.0
flush,0.9959448499594485,0.9983739837398374,0.9971579374746244,1230.0
full_house,0.7261410788381742,0.9988584474885844,0.8409418548774628,876.0
four_of_a_kind,0.9929577464788732,0.9929577464788732,0.9929577464788732,142.0
straight_flush,0.5454545454545454,0.6,0.5714285714285714,10.0
royal_flush,0.5,0.2,0.2857142857142857,5.0
accuracy,0.9979203454925643,0.9979203454925643,0.9979203454925643,0.9979203454925643
macro avg,0.8631598975026558,0.8666359303868209,0.8561808885388184,615006.0
weighted avg,0.9980699595191512,0.9979203454925643,0.9979635722120024,615006.0
